client_id,power,bandwidth,ram,stability,energy
0,0.5063727,0.593798,0.20209676,0.57778394,0.15037027
1,0.923936,0.3114237,0.71566856,0.5902323,0.27764615
2,0.8114135,0.6355197,0.6833186,0.5574174,0.28776023
3,0.76398224,0.7053706,0.6613605,0.5855225,0.50980335
4,0.55653775,0.5463327,0.6079879,0.5979737,0.45206442
5,0.57494396,0.5646866,0.52932245,0.58657426,0.32090446
6,0.5209098,0.65919054,0.1159669,0.58411777,0.54069644
7,0.85884315,0.5011013,0.4669779,0.5640521,0.5219935
8,0.64583147,0.5229202,0.8546549,0.61373234,0.41234532
9,0.87048095,0.4295316,0.9153144,0.14176245,0.4411125
10,0.694959,0.6554645,0.8583244,1.0,0.44347677
11,0.54788774,0.8507598,0.28144822,0.58935446,0.30821186
12,0.51888,0.5678225,0.43242338,0.58607435,0.3241433
13,0.8400889,0.5462323,0.8940314,1.0,0.46931618
14,0.5341616,0.57314587,0.38941586,1.0,0.18330051
15,0.18672699,0.6934674,0.24550802,0.59044224,0.3503592
16,0.7891241,0.7533326,0.5663527,0.5655455,0.3729804
17,0.37921888,0.58923817,0.26907706,0.10989326,0.54389703
18,0.4692915,0.51618713,0.12775095,0.6014822,0.63289696
19,0.70322216,0.4479083,0.72522324,0.6257572,0.741492
20,0.8142446,0.589585,0.7494917,0.5835114,0.9131015
21,0.7922289,0.6325136,0.84289813,0.5683164,0.9727945
22,0.7703531,0.5273979,0.80716956,1.0,0.29812872
23,0.5205489,0.72906,0.21850222,0.99994814,0.39009672
24,0.50085485,0.81529,0.46160513,0.57639194,0.29168218
25,0.49136874,0.55045015,0.11359555,0.5839293,0.626448
26,0.6134476,0.7023633,0.4026652,1.0,0.40863034
27,0.49085465,0.4190181,0.5983289,0.6046112,0.5754573
28,0.23116735,0.69927835,0.23944637,0.5695866,0.21830356
29,0.9106656,0.6914921,0.7248394,0.5505503,0.7439267
30,0.9943481,0.7924435,0.616966,1.0,0.70423627
31,0.2799555,0.6675127,0.019680033,0.5539213,0.40198922
32,0.74080443,0.6670807,0.72624856,1.0,0.527905
33,0.07175213,0.7013372,0.39853036,0.56984943,0.26531345
34,0.51871675,0.64322644,0.26096377,0.60383743,0.94662946
35,0.5085112,0.52183735,0.27193436,0.25100598,0.38005453
36,0.9401536,0.6091278,0.66338027,1.0,0.47618645
37,0.5401809,0.70563585,0.46151635,0.5728211,0.06203809
38,0.36662477,0.62893385,0.17656614,0.14385484,0.72026783
39,0.99836916,0.76081973,0.6029993,0.57594377,0.3693426
40,0.5434939,0.6960759,0.28363103,0.5718776,0.90051126
41,0.19001642,0.55706376,0.2567401,0.5701948,0.33913204
42,0.4873446,0.7424363,0.33404103,0.58332056,0.19068277
43,0.48474953,0.53947556,0.35789528,0.5906243,0.21530159
44,0.82363856,0.5499161,0.9344947,0.6096492,0.36172128
45,0.66703224,0.5726089,0.7431433,1.0,0.34297875
46,0.3722047,0.68318856,0.033241477,0.5614476,0.29243028
47,0.70322686,0.7245929,0.8531292,0.09166175,0.4296807
48,0.45358223,0.62399495,0.042210832,0.5718669,0.3603401
49,0.62717927,0.5393508,0.7456576,1.0,0.96154666
50,0.95942414,0.6826754,0.7503334,1.0,0.23016463
51,0.5769354,0.76780367,0.46774,1.0,0.8447111
52,0.9996834,0.71969897,0.64006233,0.56534666,0.31473202
53,0.8497575,0.6565907,0.8347498,0.5671756,0.2454743
54,0.4511348,0.6245858,0.033318467,0.5750568,0.3401196
55,0.105216324,0.75030166,0.09774619,0.55474645,0.20973445
56,0.68610996,0.67442167,0.18984114,0.5824778,0.27231532
57,0.8769458,0.4922891,0.28914177,0.553617,0.26777497
58,0.99768865,0.5768055,0.79222715,0.603504,0.5233565
59,0.061190583,0.41045824,0.24616157,0.56297404,0.21130787
60,0.33476713,0.23736918,0.08877365,0.60777396,0.6325418
61,0.5721861,0.55640066,0.25165984,0.6143758,0.82492536
62,0.13822788,0.7305754,0.0964443,0.5594649,0.22908643
63,0.4477777,0.63818794,0.4244778,0.58827496,0.6926983
64,0.6392054,0.6198757,0.7904415,0.58637834,0.94184095
65,0.56282276,0.54623497,0.59774715,0.58889747,0.5285853
66,0.6987144,0.6068488,0.55910844,0.02861204,0.41145042
67,0.93885934,0.92176425,0.73862404,0.62128013,0.6367725
68,0.8390633,0.52382165,0.7177306,1.0,0.2546836
69,0.56360275,0.6131429,0.6903202,0.59351236,0.47671723
70,0.48181516,0.59328616,0.36047146,1.0,0.596621
71,0.99449426,0.82591075,0.60239834,1.0,0.82185096
72,0.49395776,0.4220149,0.41590676,0.48078996,0.4979633
73,0.48311967,0.7504841,0.1050476,0.5730633,0.35622448
74,0.32318676,0.2992408,0.14101513,0.5821656,0.31507802
75,0.4884244,0.7730652,0.34176424,1.0,0.6544565
76,0.91922635,0.70532966,0.5041245,0.5821051,0.50905114
77,0.4477275,0.72311354,0.046797693,0.5682932,0.26532874
78,0.67474055,0.77585256,0.20957944,1.0,0.42828432
79,0.9572481,0.55774134,0.5400885,0.5791612,0.18192044
80,0.7622614,0.7634826,0.4179025,0.5801068,0.36014232
81,0.5860616,0.7739552,0.7164143,0.5856316,0.23185955
82,0.57738245,0.6269672,0.67833513,0.56448567,0.19713321
83,0.7032655,0.573963,0.71858215,0.5589072,0.23612623
84,0.5494042,0.7242748,0.6760015,0.587782,0.5727046
85,0.7195459,0.77396464,0.73684293,0.59408176,0.6816195
86,0.9991167,0.49584496,0.52402794,0.6033126,0.3009164
87,0.5093624,0.6350334,0.37693635,0.5811087,0.3506948
88,0.93736607,0.5907242,0.5293831,0.573436,0.40328345
89,0.27367172,0.580262,0.0589504,0.565235,0.4245142
90,0.54895484,0.77319086,0.19516112,1.0,0.17600341
91,0.5925362,0.74425983,0.24355745,0.56323946,0.25273457
92,0.51263887,0.7136399,0.31862307,0.58381873,0.31079334
93,0.8786992,0.6175823,0.6541896,0.45911118,0.5804988
94,0.51906323,0.36254755,0.2708373,1.0,0.5211766
95,0.5081629,0.67120737,0.16161637,1.0,0.39440247
96,0.27114093,0.6612252,0.21070156,0.56961715,0.3344142
97,0.6156809,0.57902825,0.7519871,1.0,0.39544195
98,0.60052294,0.7340617,0.5121238,1.0,0.2727355
99,0.062180307,0.5105835,0.1670548,0.5810011,0.29900092
