round,time,accuracy
1,27.33479855505192,10.0
2,63.96526451398382,10.6
3,187.4267519584571,12.88
4,275.2861045116296,10.0
5,296.39343560094255,19.55
6,333.172477404942,22.35
7,368.8588277105768,20.76
8,390.2573195436309,26.65
9,422.6312630262378,29.91
10,491.1898321663598,27.57
11,511.7459896920241,19.99
12,654.162572787968,26.72
13,677.1288495144413,27.03
14,819.5454326103852,30.4
15,842.643449352371,29.52
16,982.7519206518523,36.36
17,1002.5243763079371,38.76
18,1125.9858637524103,38.45
19,1162.6163297113421,39.17
20,1231.1748988514641,39.16
21,1371.2833701509453,39.21
22,1423.268692931389,41.47
23,1546.7301803758623,41.39
24,1569.5831826788503,36.13
25,1590.6905137681633,41.17
26,1678.549866321336,41.27
27,1701.6478830633218,40.62
28,1737.3342333689566,39.42
29,1789.3195561494003,44.28
30,1811.0577075941678,44.91
