round,time,accuracy
1,21.34488974872402,13.62
2,42.68977949744804,21.19
3,64.03466924617206,21.91
4,85.37955899489609,24.81
5,106.72444874362012,26.35
6,128.06933849234414,29.12
7,149.41422824106817,30.41
8,170.7591179897922,32.98
9,192.10400773851623,33.72
10,213.44889748724026,36.25
11,234.7937872359643,38.14
12,256.1386769846883,39.43
13,277.4835667334123,40.15
14,298.82845648213635,41.03
15,320.1733462308604,42.59
16,341.5182359795844,43.24
17,362.86312572830843,44.17
18,384.20801547703246,44.97
19,405.5529052257565,45.73
20,426.8977949744805,46.33
21,448.24268472320455,46.99
22,469.5875744719286,47.12
23,490.9324642206526,47.57
24,512.2773539693766,48.04
25,533.6222437181005,48.66
26,554.9671334668245,48.91
27,576.3120232155485,49.66
28,597.6569129642725,50.13
29,619.0018027129964,50.14
30,640.3466924617204,51.24
31,661.6915822104444,51.64
32,683.0364719591684,51.86
33,704.3813617078923,52.38
34,725.7262514566163,52.75
35,747.0711412053403,52.86
36,768.4160309540642,53.63
37,789.7609207027882,53.8
38,811.1058104515122,54.0
39,832.4507002002362,54.1
40,853.7955899489601,54.81
41,875.1404796976841,55.08
42,896.4853694464081,55.34
43,917.830259195132,55.54
44,939.175148943856,55.65
45,960.52003869258,56.11
46,981.864928441304,55.94
47,1003.2098181900279,56.45
48,1024.554707938752,56.97
49,1045.899597687476,57.16
50,1067.2444874362,57.15
