round,time,accuracy
1,22.41365501615573,10.0
2,55.09939154529065,11.37
3,77.95239384827875,15.98
4,99.6905452930462,19.43
5,151.67586807349,17.08
6,172.77379902087984,17.14
7,241.33236816100188,16.54
8,274.0181046901368,20.22
9,361.8774572433093,22.98
10,383.5584939342674,23.06
11,434.9902328372524,21.96
12,471.6206987961843,34.1
13,493.49534099761667,28.23
14,516.4485746365693,28.78
15,656.5570459360506,29.95
16,725.1156150761726,28.28
17,746.7966517671307,33.29
18,767.6153892700612,36.29
19,799.989332752668,35.06
20,827.3241313077199,33.28
21,950.7856187521932,37.64
22,987.4160847111251,41.51
23,1014.750883266177,40.82
24,1047.4366197953118,40.22
25,1135.2959723484844,37.89
26,1223.155324901657,41.69
27,1244.26265599097,40.86
28,1271.3125953070246,43.66
29,1291.2581521783998,40.54
30,1333.8670078806035,41.25
