round,time,accuracy
1,12.018458220661548,10.6
2,23.914159428210375,14.41
3,35.932617648871926,15.23
4,47.951075869533476,18.19
5,59.969534090195026,19.31
6,71.80728592876238,24.27
7,83.70298713631121,20.54
8,95.59868834386003,26.22
9,107.49438955140886,29.09
10,119.39009075895768,29.02
11,131.22784259752504,30.28
12,143.2463008181866,29.97
13,155.26475903884815,32.91
14,167.16046024639698,32.92
15,179.0561614539458,38.13
16,191.07461967460736,36.65
17,203.09307789526892,37.71
18,215.11153611593048,39.41
19,227.0072373234793,39.22
20,239.02569554414086,42.72
21,251.04415376480242,41.11
22,263.06261198546395,43.14
23,274.95831319301277,41.99
24,286.9767714136743,43.1
25,298.87247262122315,43.96
26,310.71022445979054,42.43
27,322.7286826804521,44.11
28,334.74714090111365,43.51
29,346.6428421086625,45.05
30,358.66130032932404,46.01
